region,comuna,administra,psu,nem
Metropolitana,Lo Barnechea,Particular Pagado,640.9856,6.1418
Metropolitana,Vitacura,Particular Pagado,631.4710,5.9928
Metropolitana,Colina,Particular Pagado,624.2152,6.1125
Metropolitana,Buin,Particular Pagado,620.1853,5.9933
Metropolitana,La Reina,Particular Pagado,616.6171,5.9958
Metropolitana,Las Condes,Particular Pagado,615.3176,5.9701
Metropolitana,Pudahuel,Particular Pagado,614.8385,5.8145
Metropolitana,Recoleta,Particular Pagado,612.8846,5.6706
Metropolitana,Paine,Particular Pagado,	612.1471,5.9151
Metropolitana,Estacion Central,Particular Pagado,611.1471,5.8083
Metropolitana,Calera De Tango,Particular Pagado,607.6865,5.9503
Metropolitana,Peñalolén,Particular Pagado,606.6215,5.9479
Metropolitana,Quilicura,Particular Pagado,605.9783,5.7632
Metropolitana,Independencia,Particular Pagado,600.3661,5.6517
Metropolitana,Huechuraba,Particular Pagado,599.0968,5.8875
Metropolitana,Macul,Particular Pagado,593.3817,5.7141
Metropolitana,Talagante,Particular Pagado,592.5875,6.0207
Metropolitana,Providencia,Municipal,591.7494,5.7769
Metropolitana,Melipilla,Particular Pagado,591.2897,5.9039
Metropolitana,Ñuñoa, Particular Pagado,591.0543,5.8283
Metropolitana,San Miguel,Particular Pagado,590.6871,5.7300
Metropolitana,Maipú,Particular Pagado,587.5259,5.8747
Metropolitana,La Florida,Particular Pagado,584.0641,5.7938
Metropolitana,Puente Alto,Particular Pagado,582.6394,5.8335
Metropolitana,Vitacura,Municipal,578.1500, 5.5952
Metropolitana,Curacaví,Particular Pagado,575.5000,5.7667
Metropolitana,San Bernardo,Particular Pagado,572.9631,5.7010
Metropolitana,Las Condes,Particular Subvencionado,571.3410,5.5888
Metropolitana,Providencia,Particular Pagado,570.1070,5.7260
Metropolitana,La Cisterna,Particular Pagado,568.2763, 	5.7386
Metropolitana,Vitacura,Particular Subvencionado,562.2419,5.7781
Metropolitana,Ñuñoa,Municipal,559.8002,5.5025
Metropolitana,Santiago,Municipal,558.3767,5.6986
Metropolitana,Santiago,Particular Pagado,557.1791,5.6368
Metropolitana,Peñaflor,Particular Pagado,552.2105,5.9015
Metropolitana,La Reina,Particular Subvencionado,542.4306,5.6086
Metropolitana,Pirque,Particular Pagado,535.3372,5.7917
Metropolitana,Lo Barnechea,Particular Subvencionado,528.1901,5.4691
Metropolitana,Providencia,Particular Subvencionado,527.1363,5.5970
Metropolitana,Macul,Particular Subvencionado,519.1272,5.5479
Metropolitana,Las Condes,Municipal,517.2666,5.5975
Metropolitana,La Florida,Particular Subvencionado,515.9966,5.5296
Metropolitana,Lo Prado,Particular Subvencionado,514.7123,5.7514
Metropolitana,Recoleta,Particular Subvencionado,514.4925,5.5232
Metropolitana,Maipú,Particular Subvencionado,512.8425,5.5458
Metropolitana,Maipú,Municipal,507.3162,5.5771
Metropolitana,San Bernardo,Particular Subvencionado,505.2404,5.5769
Metropolitana,Paine,Particular Subvencionado,504.6685,5.6662
Metropolitana,San Ramón,Particular Subvencionado,504.5713,5.4464
Metropolitana,San Miguel,Municipal,503.0120,5.3635
Metropolitana,Estacion Central,Particular Subvencionado,501.7321,5.3995
Metropolitana,Santiago,Particular Subvencionado,501.7230,5.4836
Metropolitana,Puente Alto,Particular Subvencionado,500.2008,5.4984
Metropolitana,Peñalolén,Particular Subvencionado,499.8911,5.4861
Metropolitana,El Bosque,Particular Subvencionado,498.6732,5.4459
Metropolitana,Pedro Aguirre Cerda,Particular Subvencionado,497.4344,5.3577
Metropolitana,Til-Til,Particular Subvencionado,497.2571,5.7755
Metropolitana,Quilicura,Particular Subvencionado,495.9871,5.4673
Metropolitana,Buin,Particular Subvencionado,495.4053,5.6887
Metropolitana,San Miguel,Particular Subvencionado,494.3050,5.5089
Metropolitana,Quinta Normal,Particular Subvencionado,493.9877,5.5204
Metropolitana,San José De Maipo,Particular Subvencionado,493.5128,5.6570
Metropolitana,Cerrillos,Particular Subvencionado,492.8516,5.3798
Metropolitana,Talagante,Particular Subvencionado,490.7805,5.5686
Metropolitana,La Granja,Particular Subvencionado,485.8229,5.5305
Metropolitana,Ñuñoa,Particular Subvencionado,484.2462,5.3952
Metropolitana,Melipilla,Particular Subvencionado,478.7453,5.5736
Metropolitana,La Cisterna,Particular Subvencionado,478.1781,5.4617
Metropolitana,Curacaví,Particular Subvencionado,477.6581,5.6001
Metropolitana,Alhué,Municipal,476.2917,6.0438
Metropolitana,Conchalí,Particular Subvencionado,476.1946,5.4564
Metropolitana,Padre Hurtado, Particular Subvencionado,475.4571,5.5281
Metropolitana,Renca,Particular Subvencionado,474.9472,5.3875
Metropolitana,Peñaflor,Particular Subvencionado,472.0516,5.5270
Metropolitana,La Pintana,Particular Subvencionado,471.3725,5.4698
Metropolitana,Independencia,Municipal,470.0520,5.5575
Metropolitana,Independencia,Particular Subvencionado,469.8888,5.4957
Metropolitana,Lo Espejo,Particular Subvencionado,469.7991,5.5149
Metropolitana,Isla De Maipo,Particular Subvencionado,469.3624,5.4966
Metropolitana,La Cisterna,Municipal,469.1734,5.3690
